"kjonn","alder","ansvar","likhet","staasted"
2,68,3,4,8
1,55,5,5,8
1,52,5,2,NA
2,24,4,1,5
2,44,5,3,5
1,37,8,2,5
1,65,5,3,3
2,22,3,2,3
2,17,8,2,3
2,22,7,4,6
2,32,4,4,3
1,56,7,3,4
2,58,9,3,2
2,61,3,2,5
1,51,8,2,2
1,57,5,3,5
1,68,8,2,4
2,22,5,1,2
1,68,8,2,4
2,70,5,3,5
1,46,7,2,1
1,75,6,4,4
1,16,8,2,6
1,41,3,3,4
1,50,7,3,3
1,58,7,2,4
2,30,5,2,4
2,56,7,2,2
2,42,2,4,5
1,80,8,2,5
1,47,10,3,6
1,51,7,2,6
1,71,3,2,8
2,54,0,4,5
2,65,3,4,3
2,75,7,2,3
2,35,4,3,5
2,51,5,4,7
1,24,8,2,5
2,80,8,4,6
2,84,4,2,7
1,67,3,3,7
2,62,3,4,7
1,41,5,2,3
1,15,10,NA,NA
1,52,8,1,3
1,56,2,3,5
2,36,3,2,5
2,40,5,4,7
2,42,8,2,7
1,37,4,2,NA
2,63,9,3,10
1,63,0,4,2
1,86,6,2,2
2,28,6,4,4
1,33,5,2,5
1,37,7,2,2
1,66,7,2,5
1,21,7,3,4
1,62,7,2,5
2,48,7,2,2
1,47,3,4,5
2,42,6,1,5
2,23,7,2,5
2,25,4,3,7
2,75,2,2,3
1,71,4,3,4
1,50,6,2,2
2,35,7,2,5
2,56,5,2,4
1,54,10,2,0
1,54,5,2,3
2,39,5,3,2
2,45,8,3,7
2,44,8,3,5
2,56,4,2,5
2,38,7,4,8
2,28,6,2,4
1,43,4,2,3
1,16,7,2,5
1,75,8,3,7
1,51,8,3,0
1,23,3,2,6
1,55,7,2,3
1,59,4,2,6
1,78,4,2,8
2,69,8,2,3
1,71,6,2,5
1,45,7,3,5
1,32,10,2,3
2,39,4,3,4
2,19,5,2,3
1,66,9,3,2
2,51,8,3,4
1,60,8,2,5
2,35,5,2,4
2,34,8,2,3
2,82,10,3,NA
1,61,5,2,7
1,59,5,2,6
1,35,5,4,5
2,17,6,3,3
1,31,4,2,6
1,64,5,2,6
2,21,6,3,4
1,74,7,2,10
1,63,8,3,5
2,51,8,4,5
1,58,0,2,7
2,37,8,2,5
1,29,6,2,6
1,15,7,2,3
1,52,7,3,4
1,25,5,2,5
1,19,3,2,6
2,44,10,4,3
1,48,9,3,2
1,42,10,4,NA
2,45,8,2,5
2,NA,6,3,8
2,39,7,1,4
2,27,NA,4,5
1,23,8,2,4
1,44,7,3,5
2,24,5,2,3
2,35,2,NA,5
1,29,10,2,5
1,62,8,3,1
1,66,9,2,5
1,75,4,3,7
1,65,4,3,6
2,50,7,4,5
1,30,6,1,3
2,48,9,2,5
1,49,8,3,6
1,77,8,2,4
2,68,6,4,NA
2,64,7,3,5
1,59,8,1,0
1,67,8,2,0
2,62,5,3,4
2,58,5,3,1
1,62,1,2,6
1,17,9,4,0
2,51,10,3,3
2,70,8,4,2
2,84,2,2,NA
2,35,5,3,3
1,25,7,3,4
1,54,4,2,5
1,37,5,3,2
1,36,6,4,4
2,64,3,3,NA
2,16,8,2,5
2,64,0,4,2
1,58,6,2,7
1,47,5,3,NA
2,23,6,4,NA
1,94,6,3,4
2,28,3,2,2
1,76,7,2,5
2,74,5,2,4
1,36,7,4,4
1,45,3,2,6
2,56,5,2,4
1,55,6,2,5
1,31,6,4,3
1,59,5,4,5
2,65,10,4,3
2,77,6,2,4
2,57,7,3,6
2,34,3,2,7
2,33,7,3,5
2,51,8,4,4
1,49,6,3,3
1,23,8,2,5
1,63,0,4,7
2,45,6,3,NA
2,43,4,2,5
2,49,7,2,4
2,46,6,2,5
2,55,7,2,3
2,59,1,4,5
1,47,10,2,3
1,43,4,2,6
2,79,5,4,3
2,76,2,3,9
1,55,5,3,5
1,44,4,2,5
2,73,2,4,8
2,31,8,3,5
2,17,3,2,NA
1,34,7,2,NA
2,82,7,NA,5
2,58,7,3,5
2,64,5,3,5
1,88,7,2,7
2,48,4,2,5
1,71,5,4,6
2,38,7,4,8
1,31,9,1,2
1,27,2,2,5
1,38,6,2,3
1,79,5,3,5
1,46,4,4,3
2,31,7,2,0
1,30,7,2,5
2,68,5,2,5
1,49,9,2,2
1,23,6,3,5
2,49,9,3,3
2,51,7,2,4
1,31,8,2,5
1,64,3,4,7
2,24,10,2,4
2,17,5,2,5
1,53,7,3,6
2,52,6,4,7
2,36,8,3,5
1,18,9,2,2
1,17,10,2,5
1,15,8,2,5
2,21,4,3,5
2,60,10,5,0
2,31,7,3,5
1,58,5,4,2
1,19,NA,NA,NA
2,83,10,3,5
2,38,8,2,10
2,79,9,2,5
1,65,5,3,5
2,17,7,2,5
1,78,10,NA,5
2,54,3,2,5
1,22,7,3,4
1,72,5,2,8
2,18,3,4,5
2,27,8,4,7
1,16,7,3,NA
1,65,10,4,4
1,27,3,2,5
1,16,7,3,4
2,61,7,3,3
1,40,5,4,8
1,36,3,3,4
1,72,8,3,5
1,17,4,2,5
1,29,8,3,6
2,30,8,3,6
2,52,10,2,3
2,20,6,2,0
2,54,3,4,5
2,28,6,4,6
2,53,10,3,0
2,58,8,2,5
1,20,10,2,NA
2,39,6,2,5
2,17,7,2,2
1,70,5,3,8
1,67,8,2,3
1,77,7,3,5
2,68,8,2,5
1,25,10,1,3
1,74,4,3,5
1,64,6,4,2
1,17,8,2,4
1,38,7,2,NA
1,18,7,2,5
1,48,4,2,7
1,21,3,4,8
1,20,5,2,4
1,28,8,2,7
2,56,8,4,2
2,51,5,2,5
1,69,10,1,10
1,51,6,3,5
2,78,8,2,7
1,87,3,1,6
2,76,5,3,10
2,58,7,2,5
2,41,5,2,5
2,35,8,3,0
1,33,6,2,5
2,32,7,2,4
2,63,7,3,3
2,43,8,2,5
1,52,6,2,3
2,62,8,4,5
1,50,8,4,0
1,46,6,4,4
1,67,5,3,5
1,55,7,3,7
1,87,5,2,4
1,24,8,2,5
2,49,7,3,5
2,66,5,3,5
2,16,5,4,0
2,66,10,4,5
1,73,6,2,1
1,76,4,3,6
1,53,7,3,5
2,33,4,3,3
1,77,4,3,6
1,63,4,3,4
1,51,10,5,6
1,49,4,3,8
2,53,6,4,5
2,16,7,3,5
2,48,5,2,8
1,33,7,3,3
1,36,4,3,6
1,71,6,5,10
1,37,5,2,6
2,76,5,3,6
2,70,1,3,4
